Calendar	avoikoi	avsettlements	avcoastsettl	avinlandsettl	avelevation	avtradeflow	avtradedistance	avmigrations	avecultivated	RAI
1186	143,3333333	22,87096774	5,566666667	17,36666667	590,6446573	120,5862069	57,14179868	5,888888889	2,600705564	0,995754807
1185	141,9	22,87096774	5,5	17,43333333	593,5338443	121,4827586	57,19185334	5,444444444	2,602574701	1,079794287
1184	140,5666667	22,70967742	5,266666667	17,5	595,0044346	117,7931034	54,56902794	6	2,596824939	1,163833768
1183	139,9666667	22,4516129	5,033333333	17,43333333	599,5389989	114,4827586	55,42102759	6,037037037	2,591581227	1,247873248
1182	137,8666667	22,29032258	4,833333333	17,46666667	602,3589248	116,137931	54,72084636	6,148148148	2,601307782	1,331912728
1181	137,3	21,80645161	4,3	17,5	609,111266	114,8275862	53,02522846	5,37037037	2,5944103	1,415952208
1180	136	21,77419355	4,333333333	17,4	609,9802944	114,862069	53,65837552	4,296296296	2,592928076	1,415952208
1179	135,0666667	21,61290323	4,433333333	17,16666667	608,3544946	112,7241379	54,24045806	4,148148148	2,590116566	1,331912728
1178	134,6	21,61290323	4,433333333	17,16666667	607,2403096	111,5172414	53,412903	3,851851852	2,582212092	1,247873248
1177	133	21,48387097	4,366666667	17,1	607,4630057	111,9655172	53,79936555	4,259259259	2,588056211	1,163833768
1176	132,7	21,29032258	4,266666667	16,96666667	608,2315088	109,137931	53,62302554	4,185185185	2,58602276	1,121814028
1175	132,5	21,51612903	4,366666667	17,1	604,2253862	108,7931034	52,55747674	4	2,586752126	1,079794287
1174	132,2333333	21,48387097	4,366666667	17,1	607,1684554	107,9310345	53,05922737	6,185185185	2,581065455	1,037774547
1173	130,5666667	21,35483871	4,266666667	17,06666667	614,678355	108,8965517	51,988098	5,037037037	2,586164978	0,911715327
1172	130,5	21,03225806	4,066666667	16,93333333	615,6004777	106,9310345	51,18065751	5,62962963	2,585680005	0,869695587
1171	129,0666667	21,35483871	4,266666667	17,06666667	612,9240988	106,7586207	52,28420268	4,666666667	2,587629062	0,869695587
1170	128,6333333	21,29032258	4,2	17,06666667	615,0201955	108,2758621	51,88642521	4,148148148	2,588869594	0,827675847
